; Date and time are: 2010-12-18T23:22:13
27762,Mouse,MouseMove,QWidget 1,247;226;
27779,Mouse,MouseMove,QWidget 1,246;226;
27812,Mouse,MouseMove,QWidget 1,245;226;
27829,Mouse,MouseMove,QWidget 1,245;227;
28290,Mouse,MouseButtonPress,QWidget 1,245;227;L
28309,Mouse,MouseButtonRelease,QWidget 1,245;227;
28679,Mouse,MouseMove,QWidget 1,244;227;
28696,Mouse,MouseMove,QWidget 1,243;228;
28713,Mouse,MouseMove,QWidget 1,242;228;
28729,Mouse,MouseMove,QWidget 1,241;228;
28746,Mouse,MouseMove,QWidget 1,240;229;
28763,Mouse,MouseMove,QWidget 1,239;229;
28780,Mouse,MouseMove,QWidget 1,238;229;
28796,Mouse,MouseMove,QWidget 1,237;229;
28813,Mouse,MouseMove,QWidget 1,237;230;
28830,Mouse,MouseMove,QWidget 1,236;230;
28863,Mouse,MouseMove,QWidget 1,235;230;
28896,Mouse,MouseMove,QWidget 1,234;230;
28913,Mouse,MouseMove,QWidget 1,234;231;
28930,Mouse,MouseMove,QWidget 1,233;231;
28996,Mouse,MouseMove,QWidget 1,232;231;
29196,Mouse,MouseMove,QWidget 1,231;231;
29263,Mouse,MouseMove,QWidget 1,230;231;
29708,Mouse,MouseButtonPress,QWidget 1,230;231;L
29726,Mouse,MouseButtonRelease,QWidget 1,230;231;
30130,Mouse,MouseMove,QWidget 1,230;233;
30147,Mouse,MouseMove,QWidget 1,230;236;
30164,Mouse,MouseMove,QWidget 1,230;238;
30181,Mouse,MouseMove,QWidget 1,230;241;
30197,Mouse,MouseMove,QWidget 1,230;242;
30264,Mouse,MouseMove,QWidget 1,230;244;
30331,Mouse,MouseMove,QWidget 1,230;245;
30811,Mouse,MouseButtonPress,QWidget 1,230;245;L
30829,Mouse,MouseButtonRelease,QWidget 1,230;245;
31131,Mouse,MouseMove,QWidget 1,230;246;
31148,Mouse,MouseMove,QWidget 1,230;247;
31165,Mouse,MouseMove,QWidget 1,230;248;
31181,Mouse,MouseMove,QWidget 1,230;249;
31198,Mouse,MouseMove,QWidget 1,230;250;
31215,Mouse,MouseMove,QWidget 1,231;250;
31231,Mouse,MouseMove,QWidget 1,231;251;
31265,Mouse,MouseMove,QWidget 1,232;251;
31282,Mouse,MouseMove,QWidget 1,232;252;
31332,Mouse,MouseMove,QWidget 1,233;253;
31348,Mouse,MouseMove,QWidget 1,233;254;
31365,Mouse,MouseMove,QWidget 1,234;254;
31398,Mouse,MouseMove,QWidget 1,235;255;
31415,Mouse,MouseMove,QWidget 1,236;255;
31432,Mouse,MouseMove,QWidget 1,237;255;
31448,Mouse,MouseMove,QWidget 1,238;255;
31465,Mouse,MouseMove,QWidget 1,240;255;
31498,Mouse,MouseMove,QWidget 1,242;256;
31515,Mouse,MouseMove,QWidget 1,244;257;
31549,Mouse,MouseMove,QWidget 1,245;257;
31565,Mouse,MouseMove,QWidget 1,247;258;
31582,Mouse,MouseMove,QWidget 1,249;259;
31598,Mouse,MouseMove,QWidget 1,251;259;
31615,Mouse,MouseMove,QWidget 1,253;260;
31665,Mouse,MouseMove,QWidget 1,254;261;
31682,Mouse,MouseMove,QWidget 1,255;261;
31715,Mouse,MouseMove,QWidget 1,256;261;
31749,Mouse,MouseMove,QWidget 1,258;262;
31765,Mouse,MouseMove,QWidget 1,259;263;
31782,Mouse,MouseMove,QWidget 1,263;265;
31798,Mouse,MouseMove,QWidget 1,265;267;
31815,Mouse,MouseMove,QWidget 1,273;270;
31832,Mouse,MouseMove,QWidget 1,276;272;
31848,Mouse,MouseMove,QWidget 1,280;275;
31865,Mouse,MouseMove,QWidget 1,286;279;
31882,Mouse,MouseMove,QWidget 1,291;281;
31898,Mouse,MouseMove,QWidget 1,299;287;
31915,Mouse,MouseMove,QWidget 1,307;292;
31932,Mouse,MouseMove,QWidget 1,315;296;
31948,Mouse,MouseMove,QWidget 1,324;300;
31965,Mouse,MouseMove,QWidget 1,327;302;
31982,Mouse,MouseMove,QWidget 1,337;308;
32008,Mouse,MouseMove,QWidget 1,339;309;
32015,Mouse,MouseMove,QWidget 1,341;310;
32032,Mouse,MouseMove,QWidget 1,343;311;
32049,Mouse,MouseMove,QWidget 1,345;312;
32065,Mouse,MouseMove,QWidget 1,346;312;
32082,Mouse,MouseMove,QWidget 1,346;313;
32099,Mouse,MouseMove,QWidget 1,347;314;
32132,Mouse,MouseMove,QWidget 1,348;315;
32149,Mouse,MouseMove,QWidget 1,349;315;
32166,Mouse,MouseMove,QWidget 1,349;316;
32182,Mouse,MouseMove,QWidget 1,350;316;
32199,Mouse,MouseMove,QWidget 1,350;317;
32816,Mouse,MouseMove,QWidget 1,349;317;
32866,Mouse,MouseMove,QWidget 1,348;317;
32899,Mouse,MouseMove,QWidget 1,347;316;
32933,Mouse,MouseMove,QWidget 1,345;315;
32949,Mouse,MouseMove,QWidget 1,344;315;
32966,Mouse,MouseMove,QWidget 1,343;315;
32983,Mouse,MouseMove,QWidget 1,342;315;
33000,Mouse,MouseMove,QWidget 1,341;314;
33033,Mouse,MouseMove,QWidget 1,340;314;
33050,Mouse,MouseMove,QWidget 1,339;314;
33066,Mouse,MouseMove,QWidget 1,339;313;
33133,Mouse,MouseMove,QWidget 1,338;312;
33567,Mouse,MouseButtonPress,QWidget 1,338;312;L
33586,Mouse,MouseButtonRelease,QWidget 1,338;312;
33834,Mouse,MouseMove,QWidget 1,340;312;
33867,Mouse,MouseMove,QWidget 1,342;312;
33884,Mouse,MouseMove,QWidget 1,343;312;
33934,Mouse,MouseMove,QWidget 1,346;312;
34350,Mouse,MouseMove,QWidget 1,347;312;
34367,Mouse,MouseMove,QWidget 1,349;312;
34384,Mouse,MouseMove,QWidget 1,350;312;
34434,Mouse,MouseMove,QWidget 1,351;312;
34468,Mouse,MouseMove,QWidget 1,352;312;
34927,Mouse,MouseButtonPress,QWidget 1,352;312;L
34946,Mouse,MouseButtonRelease,QWidget 1,352;312;
35168,Mouse,MouseMove,QWidget 1,353;312;
35185,Mouse,MouseMove,QWidget 1,356;312;
35201,Mouse,MouseMove,QWidget 1,357;312;
35218,Mouse,MouseMove,QWidget 1,360;312;
35235,Mouse,MouseMove,QWidget 1,361;312;
35251,Mouse,MouseMove,QWidget 1,363;312;
35268,Mouse,MouseMove,QWidget 1,364;312;
35285,Mouse,MouseMove,QWidget 1,365;312;
35301,Mouse,MouseMove,QWidget 1,366;312;
35335,Mouse,MouseMove,QWidget 1,367;312;
35352,Mouse,MouseMove,QWidget 1,368;312;
35385,Mouse,MouseMove,QWidget 1,369;312;
35418,Mouse,MouseMove,QWidget 1,370;311;
35861,Mouse,MouseButtonPress,QWidget 1,370;311;L
35880,Mouse,MouseButtonRelease,QWidget 1,370;311;
36069,Mouse,MouseMove,QWidget 1,370;309;
36085,Mouse,MouseMove,QWidget 1,370;306;
36102,Mouse,MouseMove,QWidget 1,370;298;
36119,Mouse,MouseMove,QWidget 1,370;293;
36136,Mouse,MouseMove,QWidget 1,370;289;
36152,Mouse,MouseMove,QWidget 1,370;284;
36169,Mouse,MouseMove,QWidget 1,370;283;
36236,Mouse,MouseMove,QWidget 1,370;280;
36672,Mouse,MouseButtonPress,QWidget 1,370;280;L
36690,Mouse,MouseButtonRelease,QWidget 1,370;280;
36903,Mouse,MouseMove,QWidget 1,369;280;
36919,Mouse,MouseMove,QWidget 1,366;281;
36936,Mouse,MouseMove,QWidget 1,364;285;
36953,Mouse,MouseMove,QWidget 1,362;287;
36970,Mouse,MouseMove,QWidget 1,361;290;
36986,Mouse,MouseMove,QWidget 1,359;293;
37002,Mouse,MouseMove,QWidget 1,357;295;
37019,Mouse,MouseMove,QWidget 1,356;296;
37036,Mouse,MouseMove,QWidget 1,356;297;
37069,Mouse,MouseMove,QWidget 1,354;298;
37120,Mouse,MouseMove,QWidget 1,353;298;
37153,Mouse,MouseMove,QWidget 1,353;299;
37483,Mouse,MouseButtonPress,QWidget 1,353;299;L
37529,Mouse,MouseButtonRelease,QWidget 1,353;299;
37535,Mouse,MouseButtonDblClick,QWidget 1,353;299;L
37553,Mouse,MouseButtonRelease,QWidget 1,353;299;
37920,Mouse,MouseMove,QWidget 1,353;296;
37937,Mouse,MouseMove,QWidget 1,353;280;
37953,Mouse,MouseMove,QWidget 1,358;262;
37970,Mouse,MouseMove,QWidget 1,367;244;
37987,Mouse,MouseMove,QWidget 1,370;233;
38004,Mouse,MouseMove,QWidget 1,388;194;
38020,Mouse,MouseMove,QWidget 1,407;159;
38037,Mouse,MouseMove,QWidget 1,428;129;
38053,Mouse,MouseMove,QWidget 1,436;113;
38070,Mouse,MouseMove,QWidget 1,453;87;
38087,Mouse,MouseMove,QWidget 1,456;78;
38103,Mouse,MouseMove,QWidget 1,463;64;
38120,Mouse,MouseMove,QWidget 1,467;57;
38137,Mouse,MouseMove,QWidget 1,470;48;
38154,Mouse,MouseMove,QWidget 1,471;43;
38170,Mouse,MouseMove,QWidget 1,473;39;
38187,Mouse,MouseMove,QWidget 1,473;36;
38204,Mouse,MouseMove,QWidget 1,474;33;
38220,Mouse,MouseMove,QWidget 1,474;32;
38237,Mouse,MouseMove,QWidget 1,474;31;
38254,Mouse,MouseMove,QWidget 1,474;30;
38287,Mouse,MouseMove,QWidget 1,474;29;
38304,Mouse,MouseMove,QWidget 1,474;28;
38387,Mouse,MouseMove,QWidget 1,473;28;
38404,Mouse,MouseMove,QWidget 1,472;30;
38420,Mouse,MouseMove,QWidget 1,471;30;
38438,Mouse,MouseMove,QWidget 1,471;31;
38454,Mouse,MouseMove,QWidget 1,471;32;
38488,Mouse,MouseMove,QWidget 1,471;33;
38821,Mouse,MouseButtonPress,QWidget 1,471;33;L
38889,Mouse,MouseButtonRelease,QWidget 1,471;33;
38895,Mouse,MouseButtonDblClick,QWidget 1,471;33;L
38913,Mouse,MouseButtonRelease,QWidget 1,471;33;
39288,Mouse,MouseMove,QWidget 1,469;33;
39304,Mouse,MouseMove,QWidget 1,468;33;
39321,Mouse,MouseMove,QWidget 1,467;34;
39338,Mouse,MouseMove,QWidget 1,465;35;
39355,Mouse,MouseMove,QWidget 1,464;36;
39371,Mouse,MouseMove,QWidget 1,461;37;
39388,Mouse,MouseMove,QWidget 1,460;37;
39404,Mouse,MouseMove,QWidget 1,459;37;
39421,Mouse,MouseMove,QWidget 1,458;38;
39438,Mouse,MouseMove,QWidget 1,457;38;
39454,Mouse,MouseMove,QWidget 1,456;39;
39471,Mouse,MouseMove,QWidget 1,454;39;
39488,Mouse,MouseMove,QWidget 1,453;40;
39504,Mouse,MouseMove,QWidget 1,450;41;
39521,Mouse,MouseMove,QWidget 1,448;42;
39538,Mouse,MouseMove,QWidget 1,445;43;
39554,Mouse,MouseMove,QWidget 1,444;44;
39571,Mouse,MouseMove,QWidget 1,443;44;
39588,Mouse,MouseMove,QWidget 1,442;45;
39621,Mouse,MouseMove,QWidget 1,440;47;
39638,Mouse,MouseMove,QWidget 1,439;48;
39671,Mouse,MouseMove,QWidget 1,438;48;
39705,Mouse,MouseMove,QWidget 1,437;49;
39721,Mouse,MouseMove,QWidget 1,436;50;
40004,Mouse,MouseButtonPress,QWidget 1,436;50;L
40070,Mouse,MouseButtonRelease,QWidget 1,436;50;
40076,Mouse,MouseButtonDblClick,QWidget 1,436;50;L
40097,Mouse,MouseButtonRelease,QWidget 1,436;50;
40472,Mouse,MouseMove,QWidget 1,434;50;
40489,Mouse,MouseMove,QWidget 1,428;50;
40505,Mouse,MouseMove,QWidget 1,426;50;
40522,Mouse,MouseMove,QWidget 1,422;51;
40555,Mouse,MouseMove,QWidget 1,421;51;
40605,Mouse,MouseMove,QWidget 1,420;51;
40639,Mouse,MouseMove,QWidget 1,419;51;
40673,Mouse,MouseMove,QWidget 1,418;51;
40689,Mouse,MouseMove,QWidget 1,417;51;
40970,Mouse,MouseButtonPress,QWidget 1,417;51;L
41017,Mouse,MouseButtonRelease,QWidget 1,417;51;
41023,Mouse,MouseButtonDblClick,QWidget 1,417;51;L
41041,Mouse,MouseButtonRelease,QWidget 1,417;51;
41373,Mouse,MouseMove,QWidget 1,417;50;
41390,Mouse,MouseMove,QWidget 1,416;49;
41423,Mouse,MouseMove,QWidget 1,413;49;
41439,Mouse,MouseMove,QWidget 1,412;48;
41456,Mouse,MouseMove,QWidget 1,411;48;
41473,Mouse,MouseMove,QWidget 1,410;48;
41490,Mouse,MouseMove,QWidget 1,409;48;
41523,Mouse,MouseMove,QWidget 1,408;48;
41848,Mouse,MouseButtonPress,QWidget 1,408;48;L
41904,Mouse,MouseButtonRelease,QWidget 1,408;48;
41910,Mouse,MouseButtonDblClick,QWidget 1,408;48;L
41929,Mouse,MouseButtonRelease,QWidget 1,408;48;
42757,Mouse,MouseMove,QWidget 1,408;49;
42774,Mouse,MouseMove,QWidget 1,407;49;
42808,Mouse,MouseMove,QWidget 1,407;53;
42824,Mouse,MouseMove,QWidget 1,407;55;
42840,Mouse,MouseMove,QWidget 1,407;63;
42857,Mouse,MouseMove,QWidget 1,406;75;
42874,Mouse,MouseMove,QWidget 1,405;103;
42891,Mouse,MouseMove,QWidget 1,403;128;
42907,Mouse,MouseMove,QWidget 1,400;155;
42924,Mouse,MouseMove,QWidget 1,395;184;
42941,Mouse,MouseMove,QWidget 1,393;195;
42957,Mouse,MouseMove,QWidget 1,388;223;
42974,Mouse,MouseMove,QWidget 1,382;245;
42991,Mouse,MouseMove,QWidget 1,377;259;
43007,Mouse,MouseMove,QWidget 1,373;269;
43024,Mouse,MouseMove,QWidget 1,368;276;
43041,Mouse,MouseMove,QWidget 1,362;280;
43057,Mouse,MouseMove,QWidget 1,353;280;
43074,Mouse,MouseMove,QWidget 1,329;283;
43091,Mouse,MouseMove,QWidget 1,313;283;
43107,Mouse,MouseMove,QWidget 1,284;283;
43124,Mouse,MouseMove,QWidget 1,277;283;
43141,Mouse,MouseMove,QWidget 1,264;280;
43157,Mouse,MouseMove,QWidget 1,255;274;
43174,Mouse,MouseMove,QWidget 1,247;268;
43191,Mouse,MouseMove,QWidget 1,246;265;
43207,Mouse,MouseMove,QWidget 1,243;262;
43224,Mouse,MouseMove,QWidget 1,242;258;
43241,Mouse,MouseMove,QWidget 1,242;257;
43257,Mouse,MouseMove,QWidget 1,242;256;
43291,Mouse,MouseMove,QWidget 1,242;254;
43324,Mouse,MouseMove,QWidget 1,243;254;
43358,Mouse,MouseMove,QWidget 1,244;254;
43408,Mouse,MouseMove,QWidget 1,245;254;
43423,Mouse,MouseButtonPress,QWidget 1,245;254;L
43534,Mouse,MouseButtonRelease,QWidget 1,245;254;
43775,Mouse,MouseMove,QWidget 1,248;254;
43792,Mouse,MouseMove,QWidget 1,253;258;
43808,Mouse,MouseMove,QWidget 1,259;261;
43825,Mouse,MouseMove,QWidget 1,267;268;
43841,Mouse,MouseMove,QWidget 1,282;277;
43858,Mouse,MouseMove,QWidget 1,302;292;
43875,Mouse,MouseMove,QWidget 1,308;298;
43891,Mouse,MouseMove,QWidget 1,322;309;
43908,Mouse,MouseMove,QWidget 1,334;319;
43925,Mouse,MouseMove,QWidget 1,342;326;
43941,Mouse,MouseMove,QWidget 1,351;335;
43958,Mouse,MouseMove,QWidget 1,357;341;
43975,Mouse,MouseMove,QWidget 1,360;346;
44025,Mouse,MouseMove,QWidget 1,361;346;
44041,Mouse,MouseMove,QWidget 1,361;347;
44058,Mouse,MouseMove,QWidget 1,363;348;
44188,Mouse,MouseButtonPress,QWidget 1,363;348;L
44435,Mouse,MouseButtonRelease,QWidget 1,363;348;
44537,Mouse,MouseButtonDblClick,QWidget 1,363;348;L
44617,Mouse,MouseButtonRelease,QWidget 1,363;348;
44784,Mouse,MouseButtonPress,QWidget 1,363;348;L
44964,Mouse,MouseButtonRelease,QWidget 1,363;348;
45025,Mouse,MouseMove,QWidget 1,365;348;
45042,Mouse,MouseMove,QWidget 1,366;348;
45059,Mouse,MouseMove,QWidget 1,368;348;
45076,Mouse,MouseMove,QWidget 1,372;348;
45093,Mouse,MouseMove,QWidget 1,378;348;
45110,Mouse,MouseMove,QWidget 1,382;348;
45126,Mouse,MouseMove,QWidget 1,389;349;
45143,Mouse,MouseMove,QWidget 1,391;349;
45160,Mouse,MouseMove,QWidget 1,393;349;
45176,Mouse,MouseMove,QWidget 1,395;350;
45192,Mouse,MouseMove,QWidget 1,396;350;
45404,Mouse,MouseButtonPress,QWidget 1,396;350;L
45469,Mouse,MouseButtonRelease,QWidget 1,396;350;
45572,Mouse,MouseButtonDblClick,QWidget 1,396;350;L
45639,Mouse,MouseButtonRelease,QWidget 1,396;350;
45910,Mouse,MouseMove,QWidget 1,397;351;
45926,Mouse,MouseMove,QWidget 1,397;356;
45943,Mouse,MouseMove,QWidget 1,397;359;
45960,Mouse,MouseMove,QWidget 1,397;364;
45993,Mouse,MouseMove,QWidget 1,397;365;
46027,Mouse,MouseMove,QWidget 1,397;367;
46032,Mouse,MouseButtonPress,QWidget 1,397;367;L
46146,Mouse,MouseButtonRelease,QWidget 1,397;367;
46544,Mouse,MouseMove,QWidget 1,398;367;
46577,Mouse,MouseMove,QWidget 1,399;367;
46583,Mouse,MouseButtonPress,QWidget 1,399;367;L
46707,Mouse,MouseButtonRelease,QWidget 1,399;367;
46820,Mouse,MouseButtonDblClick,QWidget 1,399;367;L
46898,Mouse,MouseButtonRelease,QWidget 1,399;367;
47144,Mouse,MouseMove,QWidget 1,398;370;
47161,Mouse,MouseMove,QWidget 1,395;374;
47177,Mouse,MouseMove,QWidget 1,392;380;
47194,Mouse,MouseMove,QWidget 1,390;382;
47211,Mouse,MouseMove,QWidget 1,388;387;
47228,Mouse,MouseMove,QWidget 1,385;392;
47244,Mouse,MouseMove,QWidget 1,384;394;
47261,Mouse,MouseMove,QWidget 1,384;395;
47282,Mouse,MouseButtonPress,QWidget 1,384;395;L
47383,Mouse,MouseButtonRelease,QWidget 1,384;395;
47711,Mouse,MouseMove,QWidget 1,385;395;
47728,Mouse,MouseMove,QWidget 1,386;395;
47745,Mouse,MouseMove,QWidget 1,389;396;
47761,Mouse,MouseMove,QWidget 1,392;397;
47778,Mouse,MouseMove,QWidget 1,394;399;
47795,Mouse,MouseMove,QWidget 1,396;400;
47811,Mouse,MouseMove,QWidget 1,399;401;
47828,Mouse,MouseMove,QWidget 1,400;401;
47844,Mouse,MouseMove,QWidget 1,401;401;
47861,Mouse,MouseMove,QWidget 1,402;402;
47878,Mouse,MouseMove,QWidget 1,403;402;
47911,Mouse,MouseMove,QWidget 1,404;403;
47961,Mouse,MouseMove,QWidget 1,405;403;
48216,Mouse,MouseButtonPress,QWidget 1,405;403;L
48328,Mouse,MouseButtonRelease,QWidget 1,405;403;
48379,Mouse,MouseMove,QWidget 1,405;404;
48395,Mouse,MouseMove,QWidget 1,405;405;
48412,Mouse,MouseMove,QWidget 1,407;407;
48428,Mouse,MouseMove,QWidget 1,407;408;
48445,Mouse,MouseMove,QWidget 1,408;410;
48462,Mouse,MouseMove,QWidget 1,409;412;
48595,Mouse,MouseMove,QWidget 1,410;413;
48612,Mouse,MouseMove,QWidget 1,411;413;
48646,Mouse,MouseMove,QWidget 1,411;414;
48679,Mouse,MouseMove,QWidget 1,413;415;
48687,Mouse,MouseButtonPress,QWidget 1,413;415;L
48856,Mouse,MouseButtonRelease,QWidget 1,413;415;
49162,Mouse,MouseMove,QWidget 1,412;415;
49179,Mouse,MouseMove,QWidget 1,409;415;
49196,Mouse,MouseMove,QWidget 1,409;416;
49212,Mouse,MouseMove,QWidget 1,408;416;
49229,Mouse,MouseMove,QWidget 1,407;416;
49262,Mouse,MouseMove,QWidget 1,405;417;
49307,Mouse,MouseButtonPress,QWidget 1,405;417;L
49326,Mouse,MouseMove,QWidget 1,404;417;L
49441,Mouse,MouseButtonRelease,QWidget 1,404;417;
49613,Mouse,MouseMove,QWidget 1,403;417;
49629,Mouse,MouseMove,QWidget 1,401;417;
49646,Mouse,MouseMove,QWidget 1,397;417;
49662,Mouse,MouseMove,QWidget 1,395;417;
49679,Mouse,MouseMove,QWidget 1,389;417;
49696,Mouse,MouseMove,QWidget 1,387;417;
49713,Mouse,MouseMove,QWidget 1,385;417;
49729,Mouse,MouseMove,QWidget 1,383;417;
49763,Mouse,MouseMove,QWidget 1,382;417;
49779,Mouse,MouseMove,QWidget 1,381;417;
49830,Mouse,MouseMove,QWidget 1,379;417;
49846,Mouse,MouseButtonPress,QWidget 1,379;417;L
49981,Mouse,MouseButtonRelease,QWidget 1,379;417;
50113,Mouse,MouseMove,QWidget 1,380;417;
50130,Mouse,MouseMove,QWidget 1,381;417;
50146,Mouse,MouseMove,QWidget 1,382;417;
50163,Mouse,MouseMove,QWidget 1,384;417;
50180,Mouse,MouseMove,QWidget 1,385;417;
50213,Mouse,MouseMove,QWidget 1,386;417;
50229,Mouse,MouseMove,QWidget 1,387;417;
50246,Mouse,MouseMove,QWidget 1,388;417;
50280,Mouse,MouseMove,QWidget 1,389;417;
50296,Mouse,MouseMove,QWidget 1,390;417;
50346,Mouse,MouseMove,QWidget 1,391;417;
50353,Mouse,MouseButtonPress,QWidget 1,391;417;L
50498,Mouse,MouseButtonRelease,QWidget 1,391;417;
50780,Mouse,MouseButtonDblClick,QWidget 1,391;417;L
50937,Mouse,MouseButtonRelease,QWidget 1,391;417;
50997,Mouse,MouseMove,QWidget 1,392;417;
51031,Mouse,MouseMove,QWidget 1,396;417;
51047,Mouse,MouseMove,QWidget 1,397;417;
51064,Mouse,MouseMove,QWidget 1,399;416;
51080,Mouse,MouseMove,QWidget 1,400;415;
51097,Mouse,MouseMove,QWidget 1,400;414;
51114,Mouse,MouseMove,QWidget 1,401;413;
51131,Mouse,MouseMove,QWidget 1,402;413;
51164,Mouse,MouseMove,QWidget 1,403;412;
51377,Mouse,MouseButtonPress,QWidget 1,403;412;L
51533,Mouse,MouseButtonRelease,QWidget 1,403;412;
52015,Keyboard,KeyRelease,SudokuView 1,16777249;;:ctrl
52015,Keyboard,KeyRelease,SudokuScene 1,16777249;;:ctrl
